host,plant,jun_16,jul_16,aug_16,sep_16,oct_16,nov_16,dic_16,jan_17,feb_17,mar_17,apr_17,jun_17,jul_17,aug_17,sep_17,oct_17,nov_17,dic_17,Jan_18,feb_18,mar_18,apr_18,may_18,jun_18,
1,MB85,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,MB86,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB87,,,,,1,1,1,,,,,1,1,1,1,1,,1,,,,,,,
1,MB88,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
1,MB89,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,
1,MB90,,,,,1,1,1,,,,,,,,,,,,,,,,,,
1,MB91,,1,1,1,1,,1,,,,1,1,,,1,1,1,1,,,,1,1,1,
1,MB92,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
1,MB93,,,,,1,1,1,,,,,,,1,1,1,1,1,,,,,,,
1,MB94,,1,1,1,1,1,,1,1,1,1,,1,,,,,,,,,,,,
1,MB95,,,,,,,,,,,,,,,,,,,,,,,,,
,MB96,,1,1,1,1,,,,,,,,,,,,,1,,,,,,,
1,MB97,,,,,,,,,,,,,,,,,,,,,,,,,
,MB98,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB99,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,MB100,,,,1,1,1,,,,,,,,,,,,,,,,,,,
1,MB101,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,
1,MB102,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,,,,,
1,MB103,,,,,,,,,,,,,,,,,,,,,,,,,
,MB104,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB105,,,,1,1,,1,1,1,1,1,1,,,,,,1,,,,,,,
1,MB106,,,,,1,1,1,1,1,1,,,,1,1,1,1,1,,,,,,,
1,MB107,,,,,1,1,1,,,,,1,1,1,1,1,1,1,,,,,,,
,MB108,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB109,,1,1,1,1,1,1,,,,,,,,1,1,1,1,,,,1,1,1,
1,MB110,,,1,1,1,1,1,,,,,,,1,1,2,,,,,,,,,
1,MB111,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB112,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB113,,,,,1,1,1,,,1,,,,,1,1,1,1,,,,,,,
1,MB114,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB115,,,,,,,,,,,,,,,,,,,,,,1,1,,
1,MB116,,,,,1,1,1,,,,,,,,1,1,1,1,,,,,,1,
1,MB117,,,,,1,1,1,,,,,,,1,1,1,,1,,,1,1,1,1,
1,MB118,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,
1,MB119,1,,,,1,1,,,,,,,,,,,,,,,,,,,
1,MB120,,,1,1,1,,,,,,,,,,,,,,,,,,,,
1,MB121,1,1,1,,1,1,1,,,,1,,,,,,,,,,,,,,
1,MB122,,,,,1,1,1,1,1,,,,,1,1,1,1,1,,,,,,,
,MB123,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,MB124,,,,,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,
1,MB125,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,,,,,,
1,MB126,,,,,,,,,,,,,,,,,,,,,,,,,
,MC1,,,,,,,,,,,,,,,,,,1,,,,,,,
,MC2,,,,,,,,,,,,,,,,,,,,,,,,,
,MC3,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC4,,,,,,,,,,,,,,,,,,,,,,,,,
,MC5,,,1,,,,,,,,,,,,,,,1,,,,,,,
1,MC6,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC7,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC8,1,,1,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,
1,MC9,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1,MC10,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC11,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
1,MC12,,,,,,,,,,,,,,,,,,,,,,,,,
,MC13,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC14,,1,,1,1,,,,,,,,,,,,,,,,,,,,
1,MC15,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC16,,,,1,1,1,1,,,,,1,1,,1,1,1,1,,,,,,,
1,MC17,,,1,,,,,,,,,,,,,,,,,,,,,,
,MC18,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC19,,,,,,,,,,,,,,,,,,,,,,,,,
